Mitgliedsnummer;DATUM;FAELLIG;BRUTTO;ZAHLUNG;MEMO;BEZAHLT
305;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
315;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
325;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
341;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
369;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
372;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
373;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
418;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
423;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
857;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
461;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
474;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
488;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
506;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
542;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
554;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
575;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
100;;31.5.2006 00:00:00;26,00;26,00;BEITRAG 2006;1
109;;31.5.2006 00:00:00;26,00;0,00;BEITRAG 2006;0
71;13.4.2007 00:00:00;31.5.2007 00:00:00;45,00;45,00;BEITRAG 2007;1
1033;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
1034;19.4.2010 00:00:00;31.5.2010 00:00:00;15,00;15,00;BEITRAG 2010;1
96;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
97;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
98;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
99;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
101;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
102;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
103;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
104;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
107;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
582;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
583;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
584;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;36,34;BEITRAG 2002;1
598;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
609;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
613;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
616;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
617;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
630;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
652;7.6.2002 00:00:00;31.5.2002 00:00:00;21,80;0,00;BEITRAG 2002;0
701;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
67;;31.5.2003 00:00:00;45,00;0,00;BEITRAG 2003;0
69;;31.5.2003 00:00:00;45,00;0,00;BEITRAG 2003;0
709;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
718;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
729;7.6.2002 00:00:00;31.5.2002 00:00:00;36,34;0,00;BEITRAG 2002;0
106;;31.5.2004 00:00:00;26,00;0,00;BEITRAG 2004;0
111;;31.5.2004 00:00:00;26,00;0,00;BEITRAG 2004;1
106;;31.5.2003 00:00:00;26,00;0,00;BEITRAG 2003;0
111;;31.5.2003 00:00:00;26,00;0,00;BEITRAG 2003;1
125;;31.5.2003 00:00:00;26,00;0,00;BEITRAG 2003;0
133;;31.5.2003 00:00:00;26,00;0,00;BEITRAG 2003;0
129;;31.5.2006 00:00:00;26,00;26,00;BEITRAG 2006;1
134;;31.5.2006 00:00:00;26,00;26,00;BEITRAG 2006;1
108;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
110;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
113;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
115;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
116;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;0,00;BEITRAG 2010;0
117;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
118;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
119;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
120;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
121;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
122;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
123;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
125;;31.5.2004 00:00:00;26,00;0,00;BEITRAG 2004;0
133;;31.5.2004 00:00:00;26,00;0,00;BEITRAG 2004;0
149;;31.5.2004 00:00:00;26,00;26,00;BEITRAG 2004;1
151;;31.5.2004 00:00:00;26,00;0,00;BEITRAG 2004;0
151;;31.5.2003 00:00:00;26,00;0,00;BEITRAG 2003;0
167;;31.5.2003 00:00:00;26,00;0,00;BEITRAG 2003;0
126;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
127;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
128;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
